ts,spot_high,spot_low,spot_close,S_t,call_high,call_low,call_close,C_mkt,best_bid_price,best_ask_price,poly_quote_ts,p_poly,poly_stale_sec,dt,tau,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,TF_t,CI_adj_lo,CI_adj_hi,s_B_proxy,s_B,s_P,f_B,f_P,se_poly_discrete,se_D_delta,D,K,r,P_poly,P_fair,market_id,market_label,binance_call_symbol
1693454400,27285.68,27215.0,27252.3,27250.34,155.0,35.0,35.0,37.5,35.0,40.0,1693454400.0,0.06923480450444153,0.0,2023-08-31 04:00:00+00:00,0.00022831050228310502,0.0031963470319634705,0.4064800240091806,0.19201460909636273,newton,4.935223657266238e-06,0.00024798630166149353,2.267378000913867e-09,4.761699277478437e-05,0.07396666666666667,-0.07405506074884798,0.0740649311961625,0.13333333333333333,0.13333333333333333,0.01,0.0003,0.002,0.0002886751345948129,0.00029257599240923237,0.06922986928078426,28000.0,0.045,0.06923480450444153,4.935223657266238e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693458000,27274.31,27226.38,27251.29,27250.345,145.0,35.0,35.0,37.5,35.0,40.0,1693454400.0,0.06923480450444153,3600.0,2023-08-31 05:00:00+00:00,0.00022831050228310502,0.0030821917808219177,0.4139922030372967,0.17925638260667462,newton,7.128301476388793e-06,0.00033955603539257497,3.704863098111274e-09,6.086758659673697e-05,0.07396666666666667,-0.07407883883491988,0.07409309543787267,0.13333333333333333,0.13333333333333333,0.01,0.0003,0.002,0.0002886751345948129,0.00029502236598509714,0.06922767620296513,28000.0,0.045,0.06923480450444153,7.128301476388793e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693461600,27290.95,27233.28,27253.2,27262.114999999998,135.0,35.0,40.0,42.5,40.0,45.0,1693461600.0,0.12,0.0,2023-08-31 06:00:00+00:00,0.00022831050228310502,0.0029680365296803654,0.4332281506433546,0.15695604592030368,newton,2.237377522647572e-05,0.0009056304610321697,2.020496683570474e-08,0.00014214417622859102,0.0661235294117647,-0.06637975822194626,0.06642450577239922,0.11764705882352941,0.11764705882352941,0.01,0.0003,0.002,0.0002886751345948129,0.0003217736784900811,0.11997762622477352,28000.0,0.045,0.12,2.237377522647572e-05,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693465200,27294.97,27232.88,27261.03,27263.925000000003,135.0,35.0,45.0,42.5,40.0,45.0,1693465200.0,0.10000007810994083,0.0,2023-08-31 07:00:00+00:00,0.00022831050228310502,0.0028538812785388126,0.44109793575219,0.15991680197289462,newton,3.1828279004679665e-05,0.0012169155639481484,3.78712014817821e-08,0.00019460524525762943,0.0661235294117647,-0.06647312741346498,0.06653678397147433,0.11764705882352941,0.11764705882352941,0.01,0.0003,0.002,0.0002886751345948129,0.0003481444166076995,0.09996824983093615,28000.0,0.045,0.10000007810994083,3.1828279004679665e-05,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693468800,27273.97,27222.01,27235.08,27247.989999999998,135.0,35.0,35.0,32.5,30.0,35.0,1693465200.0,0.10000007810994083,3600.0,2023-08-31 08:00:00+00:00,0.00022831050228310502,0.0027397260273972603,0.4224553427903279,0.18374003448190054,newton,9.923911671737502e-06,0.00044838017454644654,6.787352276549885e-09,8.238538873216467e-05,0.08422307692307693,-0.08437462837332023,0.08439447619666371,0.15384615384615385,0.15384615384615385,0.01,0.0003,0.002,0.0002886751345948129,0.0003002010752976798,0.0999901541982691,28000.0,0.045,0.10000007810994083,9.923911671737502e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693472400,27235.09,27184.99,27198.27,27210.04,135.0,30.0,30.0,27.5,25.0,30.0,1693465200.0,0.10000007810994083,7200.0,2023-08-31 09:00:00+00:00,0.00022831050228310502,0.002625570776255708,0.42765643861340386,0.2168013959127844,newton,4.701392050831204e-06,0.00022554489661229867,2.391058258524067e-09,4.889844842655099e-05,0.09820909090909091,-0.09830023047595612,0.09830963326005779,0.18181818181818182,0.18181818181818182,0.01,0.0003,0.002,0.0002886751345948129,0.00029278728044752455,0.09999537671789,28000.0,0.045,0.10000007810994083,4.701392050831204e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693476000,27226.18,27191.48,27201.83,27208.83,135.0,30.0,30.0,32.5,30.0,35.0,1693476000.0,0.06999999999999995,0.0,2023-08-31 10:00:00+00:00,0.00022831050228310502,0.002511415525114155,0.45817365018291506,0.20612751895494186,newton,1.719628907641507e-05,0.0006769209166840104,1.946918714051588e-08,0.00013953202908477996,0.08422307692307693,-0.08447936341100669,0.08451375598915951,0.15384615384615385,0.15384615384615385,0.01,0.0003,0.002,0.0002886751345948129,0.0003206283213845109,0.06998280371092354,28000.0,0.045,0.06999999999999995,1.719628907641507e-05,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693479600,27587.51,27201.17,27303.96,27394.339999999997,135.0,30.0,45.0,35.0,30.0,40.0,1693479600.0,0.16,0.0,2023-08-31 11:00:00+00:00,0.00022831050228310502,0.002397260273972603,0.39513574685077346,0.18269843165338998,newton,0.0001241685915186184,0.004490320928588289,6.730144700071197e-07,0.0008203745912734741,0.15015714285714285,-0.15164090846452025,0.15188924564755749,0.2857142857142857,0.2857142857142857,0.01,0.0003,0.002,0.0002886751345948129,0.0008696825876953343,0.15987583140848138,28000.0,0.045,0.16,0.0001241685915186184,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693483200,27315.47,27063.08,27192.62,27189.275,135.0,25.0,25.0,20.0,15.0,25.0,1693483200.0,0.06000026857173546,0.0,2023-08-31 12:00:00+00:00,0.00022831050228310502,0.00228310502283105,0.4317488713315607,0.28632695559183047,newton,3.309901419362873e-06,0.00016243998829183808,2.163268220043319e-09,4.651094731397458e-05,0.25730000000000003,-0.25738785155531607,0.2573944713581548,0.5,0.5,0.01,0.0003,0.002,0.0002886751345948129,0.00029239801906541133,0.0599969586703161,28000.0,0.045,0.06000026857173546,3.309901419362873e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693486800,27205.32,27073.14,27149.99,27139.23,105.0,20.0,20.0,17.5,15.0,20.0,1693486800.0,0.050000000000000044,0.0,2023-08-31 13:00:00+00:00,0.00022831050228310502,0.0021689497716894978,0.4499551772156683,0.250107095808357,newton,2.1689432682429218e-06,0.00010604287431248966,7.034204795697673e-10,2.6522075325467412e-05,0.15015714285714285,-0.15020695718151253,0.150211295068049,0.2857142857142857,0.2857142857142857,0.01,0.0003,0.002,0.0002886751345948129,0.0002898909343406639,0.0499978310567318,28000.0,0.045,0.050000000000000044,2.1689432682429218e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693490400,27192.78,27027.0,27175.66,27109.89,80.0,15.0,20.0,17.5,15.0,20.0,1693490400.0,0.040000000000000036,0.0,2023-08-31 14:00:00+00:00,0.00022831050228310502,0.002054794520547945,0.47475790740934715,0.19999917157730931,newton,3.3089506621156365e-06,0.0001476643798677718,8.721835378581196e-10,2.953275364503147e-05,0.15015714285714285,-0.150211718103625,0.15021833600494922,0.2857142857142857,0.2857142857142857,0.01,0.0003,0.002,0.0002886751345948129,0.00029018186861206794,0.03999669104933792,28000.0,0.045,0.040000000000000036,3.3089506621156365e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693494000,27179.74,26803.73,26922.01,26991.735,80.0,10.0,10.0,12.5,10.0,15.0,1693490400.0,0.040000000000000036,3600.0,2023-08-31 15:00:00+00:00,0.00022831050228310502,0.0019406392694063927,0.5027058629046515,0.2836090285002052,newton,6.806850767951722e-07,3.2801363000141915e-05,8.65413937400004e-11,9.302762693952824e-06,0.2073,-0.20731755272980337,0.20731891409995695,0.4,0.4,0.01,0.0003,0.002,0.0002886751345948129,0.0002888249897897918,0.03999931931492324,28000.0,0.045,0.040000000000000036,6.806850767951722e-07,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
