ts,spot_close,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D
1773957600,70189.5,0.0195,0.0195,0.0195,1773957600.0,0.55,0.0,,,2026-03-19 22:00:00+00:00,0.01026694045174538,0.009354323522701347,0.46459877971261615,0.0050752364121602125,iv_newton,0.5171910121316293,-0.07784102673136109,1.5607367824547253e-07,0.00039506161322694025,0.0002886751345948129,0.0004892923579812032,0.03280898786837072
1773961200,69933.5,0.0175,0.0175,0.0175,1773961200.0,0.48429752080322386,0.0,,,2026-03-19 23:00:00+00:00,0.010152863335614876,0.009240246406570842,0.4631911932386643,0.004563615448124246,iv_newton,0.48625173438368957,-0.01097917126535341,2.510482524772527e-09,5.010471559416865e-05,0.0002886751345948129,0.00029299115320791834,-0.0019542135804657135
1773964800,70212.0,0.0175,0.0175,0.0175,1773964800.0,0.5,0.0,,,2026-03-20 00:00:00+00:00,0.01003878621948437,0.009126169290440338,0.41337300497690294,0.004618031456230202,iv_newton,0.5249636048459343,-0.10072892284802087,2.163825095399344e-07,0.0004651693342643455,0.0002886751345948129,0.0005474630972707364,-0.024963604845934295
1773968400,70414.0,0.0175,0.0175,0.0175,1773964800.0,0.5,3600.0,,,2026-03-20 01:00:00+00:00,0.009924709103353867,0.009012092174309833,0.3744796878891706,0.004709524465372329,iv_newton,0.5599128328353534,-0.198636185901704,8.751265296890737e-07,0.0009354819772123211,0.0002886751345948129,0.0009790096337740537,-0.059912832835353425
1773975600,70751.0,0.0175,0.0175,0.0175,1773975600.0,0.5900000000000001,0.0,,,2026-03-20 03:00:00+00:00,0.009696554871092859,0.008783937942048825,0.29968796096545103,0.005086741060310522,iv_newton,0.6409113012033613,-0.48752844516996136,6.150057566938838e-06,0.0024799309601153895,0.0002886751345948129,0.002496675970219638,-0.05091130120336118
1773979200,70801.0,0.0175,0.0175,0.0175,1773979200.0,0.59,0.0,,,2026-03-20 04:00:00+00:00,0.009582477754962354,0.008669860825918321,0.2882192952871859,0.005217601662798423,iv_newton,0.6567758499254022,-0.5516066744735706,8.28325182367318e-06,0.00287806390194401,0.0002886751345948129,0.0028925049968853145,-0.0667758499254022
1773982800,70622.5,0.0175,0.0175,0.0175,1773982800.0,0.59,0.0,,,2026-03-20 05:00:00+00:00,0.00946840063883185,0.008555783709787816,0.33655441726354496,0.004979450535471781,iv_newton,0.6050016541139677,-0.3427095724971431,2.9121605583239394e-06,0.0017065053642822045,0.0002886751345948129,0.0017307495173066705,-0.0150016541139677
1773986400,70505.0,0.0175,0.0175,0.0175,1773986400.0,0.5700000000000001,0.0,,,2026-03-20 06:00:00+00:00,0.009354323522701347,0.008441706593657313,0.36681075250650935,0.004915508007444495,iv_newton,0.5777440290821354,-0.24762076577675762,1.4815316729739153e-06,0.00121718185698519,0.0002886751345948129,0.0012509456448252453,-0.00774402908213534
1773990000,70856.0,0.0175,0.0175,0.0175,1773990000.0,0.5599999775999964,0.0,,,2026-03-20 07:00:00+00:00,0.009240246406570842,0.008327629477526808,0.27846247214855596,0.005462757613873664,iv_newton,0.6756042017252084,-0.6233106172953419,1.1593989727212482e-05,0.0034049948204384222,0.0002886751345948129,0.0034172098356035755,-0.11560422412521199
1773993600,71062.0,0.0175,0.0175,0.0175,1773993600.0,0.65,0.0,,,2026-03-20 08:00:00+00:00,0.009126169290440338,0.008213552361396304,0.2085717473642042,0.006805646410744015,iv_newton,0.7779478079488534,-1.1207864136044576,5.818144166375935e-05,0.007627676032957833,0.0002886751345948129,0.007633136642108058,-0.1279478079488534
1773997200,70601.0,0.0175,0.0175,0.0175,1773997200.0,0.590000071066678,0.0,,,2026-03-20 09:00:00+00:00,0.009012092174309833,0.008099475245265799,0.3516163458024434,0.005094698095706566,iv_newton,0.5990724729893092,-0.3131110304335584,2.5446827263839535e-06,0.0015952061704945708,0.0002886751345948129,0.001621115683631889,-0.009072401922631257
1774000800,70617.5,0.0175,0.0175,0.0175,1774000800.0,0.5899998274527178,0.0,,,2026-03-20 10:00:00+00:00,0.00889801505817933,0.007985398129135296,0.35008258275715165,0.005147095049366279,iv_newton,0.6029327450357929,-0.3242900763518243,2.786067886838228e-06,0.0016691518465490874,0.0002886751345948129,0.0016939307011125224,-0.012932917583075021
1774004400,70479.0,0.0175,0.0175,0.0175,1774004400.0,0.6,0.0,,,2026-03-20 11:00:00+00:00,0.008783937942048825,0.00787132101300479,0.38645462709242856,0.005072614666233553,iv_newton,0.5716244592573051,-0.22059334130093966,1.2521274713065436e-06,0.0011189850183566104,0.0002886751345948129,0.0011556213932944807,0.028375540742694882
1774008000,70313.0,0.0175,0.0175,0.0175,1774008000.0,0.5800000000000001,0.0,,,2026-03-20 12:00:00+00:00,0.008669860825918321,0.007757243896874287,0.4273355783497027,0.0050343457750468175,iv_newton,0.5404246206040125,-0.13166295058473174,4.3935264863057886e-07,0.0006628368190064421,0.0002886751345948129,0.0007229702497087361,0.03957537939598754
1774011600,69852.5,0.0145,0.018,0.0145,1774011600.0,0.5300001222000904,0.0,,0.3917623507149997,2026-03-20 13:00:00+00:00,0.008555783709787816,0.007643166780743783,0.4402455440367098,0.050193241400716584,iv_newton,0.4748175492669793,0.019874876203959675,9.951747530671797e-07,0.0009975844591147056,0.0002886751345948129,0.001038512439213182,0.05518257293311113
1774015200,69733.5,0.0155,0.0155,0.014,1774015200.0,0.4899998335848052,0.0,,0.3854296757098218,2026-03-20 14:00:00+00:00,0.008441706593657313,0.007529089664613279,0.49560960086536027,0.021704211842492493,iv_newton,0.46071465456066896,0.04216616019108996,8.375604238596879e-07,0.0009151832733718902,0.0002886751345948129,0.0009596320947076651,0.029285179024136243
1774018800,69872.5,0.0135,0.014,0.012,1774018800.0,0.5,0.0,,0.3789739220793586,2026-03-20 15:00:00+00:00,0.008327629477526808,0.007415012548482774,0.4140236555486524,0.029117799674735875,iv_newton,0.47700409579765135,0.018697265440608436,2.9639665288998325e-07,0.0005444232295649987,0.0002886751345948129,0.0006162223512850833,0.02299590420234865
1774022400,69831.0,0.0125,0.014,0.0115,1774022400.0,0.48,0.0,,0.3719867226752372,2026-03-20 16:00:00+00:00,0.008213552361396304,0.00730093543235227,0.39621856999067884,0.036706744395666055,iv_newton,0.4699429600540047,0.03921144598886027,2.0716550891230434e-06,0.001439324525297559,0.0002886751345948129,0.0014679878822580169,0.010057039945995272
1774026000,69995.0,0.01,0.01,0.01,1774026000.0,0.48,0.0,,0.3668321505654612,2026-03-20 17:00:00+00:00,0.008099475245265799,0.007186858316221766,0.29198329702293213,0.002957541674785891,iv_newton,0.49902541065553496,-0.03317669096176002,9.627818194743509e-09,9.812144615089766e-05,0.0002886751345948129,0.0003048953124075161,-0.01902541065553498
1774029600,69771.5,0.0115,0.012,0.01,1774029600.0,0.52,0.0,,0.36551976345771664,2026-03-20 18:00:00+00:00,0.007985398129135296,0.0070727812000912615,0.3846564798788521,0.02988946745356488,iv_newton,0.4592713845042831,0.06959932378471527,4.327592850112132e-06,0.002080286723053371,0.0002886751345948129,0.002100220508290847,0.0607286154957169
1774033200,70172.5,0.0115,0.0115,0.0115,1774033200.0,0.54,0.0,,0.371201447459488,2026-03-20 19:00:00+00:00,0.00787132101300479,0.006958704083960757,0.3025379026302511,0.0034816479709523164,iv_newton,0.5362513667132536,-0.1553081494844029,2.923870982327331e-07,0.0005407283035247305,0.0002886751345948129,0.0006129603833577391,0.003748633286746461
1774036800,70052.5,0.012,0.012,0.012,1774036800.0,0.5399997962261075,0.0,,0.3667316056427643,2026-03-20 20:00:00+00:00,0.007757243896874287,0.006844626967830253,0.3475224900030606,0.0036405310296782883,iv_newton,0.5080381588370091,-0.05874591843064582,4.573881092035633e-08,0.00021386633891371575,0.0002886751345948129,0.00035926611898937766,0.03196163738909841
1774040400,70550.0,0.0145,0.0145,0.0145,1774040400.0,0.59,0.0,,0.3775121681196704,2026-03-20 21:00:00+00:00,0.007643166780743783,0.006730549851699749,0.30467686873216454,0.00469029673966443,iv_newton,0.6151873041353603,-0.40128304637832846,3.542438045963124e-06,0.001882136564110884,0.0002886751345948129,0.0019041458398180685,-0.0251873041353603
1774044000,70778.5,0.0145,0.0145,0.0145,1774044000.0,0.63,0.0,,0.37409603910173383,2026-03-20 22:00:00+00:00,0.007529089664613279,0.006616472735569244,0.23389333740489987,0.005370560462293162,iv_newton,0.7091178073023544,-0.8374233146623925,2.0226899487185662e-05,0.004497432543928331,0.0002886751345948129,0.004506687566330618,-0.0791178073023544
1774047600,70518.0,0.0145,0.0145,0.0145,1774047600.0,0.6199998511998869,0.0,,0.37490888371825576,2026-03-20 23:00:00+00:00,0.007415012548482774,0.006502395619438741,0.31928637257835574,0.004730093606415142,iv_newton,0.6048899361233274,-0.3544602829112222,2.811089222990232e-06,0.0016766303179264748,0.0002886751345948129,0.0017013002546063306,0.015109915076559455
1774051200,70683.5,0.0165,0.0165,0.015,1774051200.0,0.6,0.0,,0.37047814392826384,2026-03-21 00:00:00+00:00,0.00730093543235227,0.006388318503308237,0.340435788962825,0.025294455984274808,iv_newton,0.6293933699419301,-0.39914670104339156,0.000101933227398553,0.010096198660810563,0.0002886751345948129,0.01010032478348525,-0.029393369941930092
1774054800,70475.0,0.0165,0.0165,0.0165,1774054800.0,0.6,0.0,,0.3692749310686663,2026-03-21 01:00:00+00:00,0.007186858316221766,0.006274241387177732,0.40275180591798604,0.00536992685130125,iv_newton,0.5753436977570929,-0.2184193089441671,1.3756843510918047e-06,0.0011728957119419461,0.0002886751345948129,0.0012078980438866263,0.024656302242907047
1774058400,70735.5,0.0165,0.0165,0.0165,1774058400.0,0.64,0.0,,0.36745382478375493,2026-03-21 02:00:00+00:00,0.0070727812000912615,0.006160164271047228,0.3305978384624648,0.005771305506930618,iv_newton,0.6454008767398726,-0.45147981801948056,6.7892970659538855e-06,0.0026056279600038617,0.0002886751345948129,0.002621570216356453,-0.005400876739872551
1774062000,70684.5,0.0165,0.0165,0.0165,1774062000.0,0.629999452429359,0.0,,0.36297877335870665,2026-03-21 03:00:00+00:00,0.006958704083960757,0.006046087154916724,0.34996559822951934,0.005719945372007251,iv_newton,0.6288978613579622,-0.3871246025321963,4.903264340180839e-06,0.002214331578644183,0.0002886751345948129,0.002233069115256886,0.0011015910713967347
