ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1771844400,66188.0,66474.5,66090.0,0.0001,0.0001,0.0001,1771844400.0,0.0040000000000000036,0.0,,,2026-02-23 11:00:00+00:00,0.0006844626967830253,0.00022831050228310502,1.6293705612291394,0.0021409726377492936,iv_bisect,0.09106795153741921,0.1298542798532452,7.729204000269653e-08,0.0002780144600604374,0.0002886751345948129,0.00040078095430799834,-0.08706795153741921,0.0078,0.08272304319570076,0.09941285987913767,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771848000,66276.0,66508.5,65871.0,0.0001,0.0001,0.0001,1771848000.0,0.0010000000000000009,0.0,,,2026-02-23 12:00:00+00:00,0.0005703855806525211,0.00022831050228310502,1.595881013483256,0.0021067938743570005,iv_bisect,0.07315226076561893,0.12310487468358286,6.726584383001925e-08,0.00025935659588685855,0.0002886751345948129,0.00038807109807785555,-0.07215226076561893,0.0078,0.06484392183768069,0.08146059969355716,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771851600,66124.5,66421.0,66100.0,0.0001,0.0001,0.0001,1771851600.0,0.002,0.0,,,2026-02-23 13:00:00+00:00,0.0004563084645220169,0.00022831050228310502,1.653510096060783,0.002165530497077027,iv_bisect,0.051592992267058824,0.10195472817407876,4.8746490111200725e-08,0.00022078607318216592,0.0002886751345948129,0.0003634278792890469,-0.04959299226705882,0.0078,0.04336025156362178,0.05982573297049587,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771855200,65924.5,66255.5,65510.0,0.0001,0.0001,0.0001,1771855200.0,0.0010000000000000009,0.0,,0.820437805189414,2026-02-23 14:00:00+00:00,0.00034223134839151266,0.00022831050228310502,1.7294057305546102,0.0022423315981797416,iv_bisect,0.02934833703585311,0.07179875534078047,2.591991094645515e-08,0.00016099661781060853,0.0002886751345948129,0.00033053478527953525,-0.02834833703585311,0.0078,0.02123278366494432,0.0374638904067619,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771858800,65640.5,66228.0,65554.0,0.0001,0.0001,0.0001,1771858800.0,0.0010000000000000009,0.0,,0.8056536437084606,2026-02-23 15:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.8368644945280252,0.0023500532957608567,iv_bisect,0.009895096424109023,0.033102734029244796,6.051780286548291e-09,7.779318920412179e-05,0.0002886751345948129,0.00029897343296667956,-0.008895096424109022,0.0078,0.001942621773268944,0.017847571074949102,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771862400,65343.5,65710.0,65153.5,0.0001,0.0001,0.0001,1771862400.0,0.0010000000000000009,0.0,,0.7919324403021475,2026-02-23 16:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.948907889596671,0.0024611810751874706,iv_bisect,0.009337026979746033,0.029913450706458494,5.42026054588228e-09,7.362241877228892e-05,0.0002886751345948129,0.0002979154139671454,-0.008337026979746032,0.0078,0.0013927270389523464,0.01728132692053972,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771866000,64771.0,65430.5,64117.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,0.0,,0.7885183326831452,2026-02-23 17:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.164132082827538,0.0026715354698910896,iv_bisect,0.008417910812251433,0.024971205251177082,4.450418969307967e-09,6.671146055445021e-05,0.0002886751345948129,0.00029628322987074597,-0.0074179108122514326,0.0078,0.00048715634956471125,0.016348665274938154,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771869600,64606.5,65154.0,64555.5,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,3600.0,,0.7740040036174965,2026-02-23 18:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.225830515376776,0.002731140212225276,iv_bisect,0.008185294656309001,0.02378269548589765,4.219006006987356e-09,6.495387599664362e-05,0.0002886751345948129,0.00029589244556142474,-0.007185294656309,0.0078,0.00025798505935558,0.01611260425326242,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771873200,64272.5,64816.0,64050.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,7200.0,,0.7627139853356633,2026-02-23 19:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.350955613694042,0.0028511298309177864,iv_bisect,0.007748866539685749,0.02162183311183571,3.800309873481653e-09,6.164665338428075e-05,0.0002886751345948129,0.00029518408359329774,-0.006748866539685748,0.0078,-0.00017196090094744043,0.01566969398031894,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771876800,64444.0,64457.5,63850.0,0.0001,0.0001,0.0001,1771866000.0,0.0010000000000000009,10800.0,,0.7530700563789404,2026-02-23 20:00:00+00:00,0.00022831050228310502,0.00022831050228310502,2.286729651238173,0.0027896848668107887,iv_bisect,0.007967277823367064,0.02269193119633117,4.007312482566925e-09,6.33033370571167e-05,0.0002886751345948129,0.00029553450867183053,-0.006967277823367063,0.0078,4.320328273511517e-05,0.015891352363999012,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
