ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1697112000,26834.0,26862.0,26762.0,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3571200.0,0.3139943415246311,2023-10-12 12:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.285581194487959,0.0017834902713302092,iv_bisect,0.013943490987011985,0.06028923890486727,1.1561683914963816e-08,0.00010752527105273353,0.0002886751345948129,0.00030805034856058375,-0.0039434909870119765,0.0078,0.005932741455748628,0.021954240518275343,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697115600,26762.0,26868.0,26689.5,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3574800.0,0.30592584302800596,2023-10-12 13:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.3550586136688292,0.0018569999846711448,iv_bisect,0.013264585863882714,0.05525035484441352,1.0526741141954274e-08,0.00010259990809915121,0.0002886751345948129,0.00030636591598166987,-0.0032645858638827054,0.0078,0.005263490044008378,0.021265681683757053,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697119200,26704.0,26772.5,26634.0,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3578400.0,0.3061639465900779,2023-10-12 14:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.4108268429581823,0.0019155111583042707,iv_bisect,0.012764959005583268,0.05166252263996623,9.793109028367025e-09,9.896013858300232e-05,0.0002886751345948129,0.0003051662536416836,-0.0027649590055832587,0.0078,0.004770997133960583,0.020758920877205954,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697122800,26671.0,26730.5,26612.5,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3582000.0,0.2884883054637741,2023-10-12 15:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.4424839985768496,0.0019485384639409966,iv_bisect,0.012497437250535535,0.04978392311555246,9.410142515529064e-09,9.700588907653526e-05,0.0002886751345948129,0.0003045381352948468,-0.0024974372505355263,0.0078,0.0045073057079455265,0.020487568793125542,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697126400,26674.5,26813.0,26568.5,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3585600.0,0.28715895951674963,2023-10-12 16:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.43912871082142,0.0019450450761996994,iv_bisect,0.012525263492374778,0.04997796343276324,9.449665833397903e-09,9.720939169338477e-05,0.0002886751345948129,0.0003046030189717942,-0.0025252634923747692,0.0078,0.004534733084655745,0.02051579390009381,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697130000,26640.0,26695.5,26544.5,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3589200.0,0.2871026959230179,2023-10-12 17:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.4721770360668003,0.0019793990723709293,iv_bisect,0.012256292777070526,0.04811620061412291,9.070879103231421e-09,9.524116286160843e-05,0.0002886751345948129,0.0003039806119418881,-0.0022562927770705173,0.0078,0.004269620097861774,0.02024296545627928,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697133600,26656.5,26728.5,26591.5,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3592800.0,0.2870945393794924,2023-10-12 18:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.4563779624976216,0.0019629932882296833,iv_bisect,0.012383453612301067,0.04899260385008895,9.249082922372907e-09,9.617215253062035e-05,0.0002886751345948129,0.000304273587837831,-0.0023834536123010577,0.0078,0.004394956193341052,0.020371951031261083,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697137200,26718.0,26745.0,26629.0,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3596400.0,0.28758989742688285,2023-10-12 19:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.3973809560583532,0.0019014423775454933,iv_bisect,0.012882013546373229,0.05249383787745951,9.962836173102044e-09,9.981400790020428e-05,0.0002886751345948129,0.00030544421668519993,-0.00288201354637322,0.0078,0.00488637809088883,0.02087764900185763,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697140800,26744.0,26756.5,26712.0,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3600000.0,0.2877059782615017,2023-10-12 20:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.3723843081490699,0.0018752227051922015,iv_bisect,0.01310531223932062,0.05409540676897348,1.0290263297688645e-08,0.00010144093501978698,0.0002886751345948129,0.00030597973238602255,-0.003105312239320611,0.0078,0.005106488006681838,0.0211041364719594,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1697144400,26762.0,26769.5,26718.0,0.0001,0.0001,0.0001,1693540800.0,0.010000000000000009,3603600.0,0.28774635781634017,2023-10-12 21:00:00+00:00,0.00022831050228310502,0.00022831050228310502,1.3550586136688292,0.0018569999846711448,iv_bisect,0.013264585863882714,0.05525035484441352,1.0526741141954274e-08,0.00010259990809915121,0.0002886751345948129,0.00030636591598166987,-0.0032645858638827054,0.0078,0.005263490044008378,0.021265681683757053,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
